Día,Dispositivo,Grupo de anuncios,Campaña,Conversiones,Impr.,Coste,Interacciones,Clics
2025-02-02,Teléfonos móviles,Matronatación,Búsqueda | General,"0,00",223,"19,26",25,25
2025-02-02,Teléfonos móviles,Natació- Infantil,Búsqueda | General,"0,00",952,"5,33",15,15
2025-02-02,Teléfonos móviles,Natación Adultos,Búsqueda | General,"0,00",52,"5,40",12,12
2025-02-02,Teléfonos móviles,Natación para Embarazadas,Búsqueda | General,"0,00",48,"4,33",4,4
2025-02-02,Tablets,Clases de Natación,Búsqueda | General,"0,00",20,"0,00",0,0
2025-02-02,Tablets,Matronatación,Búsqueda | General,"0,00",2,"0,00",0,0
2025-02-02,Tablets,Natació- Infantil,Búsqueda | General,"0,00",65,"0,00",0,0
2025-02-02,Tablets,Natación para Embarazadas,Búsqueda | General,"0,00",3,"0,00",0,0
2025-02-03,Equipos informáticos,Clases de Natación,Búsqueda | General,"0,00",23,"0,00",0,0
2025-02-03,Equipos informáticos,Matronatación,Búsqueda | General,"0,00",25,"0,21",1,1
2025-02-03,Equipos informáticos,Natació- Infantil,Búsqueda | General,"0,00",268,"0,09",1,1
2025-02-03,Equipos informáticos,Natación Adultos,Búsqueda | General,"0,00",7,"0,00",0,0
2025-02-03,Equipos informáticos,Natación para Embarazadas,Búsqueda | General,"0,00",17,"3,92",2,2
2025-02-03,Teléfonos móviles,Clases de Natación,Búsqueda | General,"0,50",250,"29,76",40,40
2025-02-03,Teléfonos móviles,Matronatación,Búsqueda | General,"1,00",167,"15,19",23,23
2025-02-03,Teléfonos móviles,Natació- Infantil,Búsqueda | General,"0,00",655,"5,87",13,13
2025-02-03,Teléfonos móviles,Natación Adultos,Búsqueda | General,"0,50",43,"3,42",7,7
2025-02-03,Teléfonos móviles,Natación para Embarazadas,Búsqueda | General,"1,00",96,"13,57",14,14
2025-02-03,Tablets,Clases de Natación,Búsqueda | General,"0,00",5,"0,00",0,0
2025-02-03,Tablets,Matronatación,Búsqueda | General,"0,00",1,"0,00",0,0
2025-02-03,Tablets,Natació- Infantil,Búsqueda | General,"0,00",27,"0,03",1,1
2025-02-03,Tablets,Natación Adultos,Búsqueda | General,"0,00",3,"0,00",0,0
2025-02-04,Equipos informáticos,Clases de Natación,Búsqueda | General,"0,00",24,"3,60",2,2
2025-02-04,Equipos informáticos,Matronatación,Búsqueda | General,"0,00",13,"0,26",1,1
2025-02-04,Equipos informáticos,Natació- Infantil,Búsqueda | General,"0,00",165,"4,38",5,5
2025-02-04,Equipos informáticos,Natación Adultos,Búsqueda | General,"0,00",4,"0,00",0,0
2025-02-04,Equipos informáticos,Natación para Embarazadas,Búsqueda | General,"0,00",14,"0,00",0,0
2025-02-04,Teléfonos móviles,Clases de Natación,Búsqueda | General,"1,00",139,"12,31",23,23
2025-02-04,Teléfonos móviles,Matronatación,Búsqueda | General,"1,00",118,"9,93",13,13
2025-02-04,Teléfonos móviles,Natació- Infantil,Búsqueda | General,"0,00",444,"4,54",14,14
2025-02-04,Teléfonos móviles,Natación Adultos,Búsqueda | General,"1,00",33,"3,74",6,6
2025-02-04,Teléfonos móviles,Natación para Embarazadas,Búsqueda | General,"2,00",76,"17,69",16,16
2025-02-04,Tablets,Clases de Natación,Búsqueda | General,"0,00",3,"0,00",0,0
2025-02-04,Tablets,Natació- Infantil,Búsqueda | General,"0,00",8,"0,00",0,0
2025-02-05,Equipos informáticos,Clases de Natación,Búsqueda | General,"0,00",19,"0,00",0,0
2025-02-05,Equipos informáticos,Matronatación,Búsqueda | General,"0,00",59,"3,89",3,3
2025-02-05,Equipos informáticos,Natació- Infantil,Búsqueda | General,"0,00",186,"0,84",3,3
2025-02-05,Equipos informáticos,Natación Adultos,Búsqueda | General,"0,00",7,"0,00",0,0
2025-02-05,Equipos informáticos,Natación para Embarazadas,Búsqueda | General,"0,00",12,"0,00",0,0
2025-02-05,Teléfonos móviles,Clases de Natación,Búsqueda | General,"0,00",206,"11,99",20,20
2025-02-05,Teléfonos móviles,Matronatación,Búsqueda | General,"1,00",307,"12,57",23,23
2025-02-05,Teléfonos móviles,Natació- Infantil,Búsqueda | General,"0,00",1.069,"6,34",20,20
2025-02-05,Teléfonos móviles,Natación Adultos,Búsqueda | General,"0,00",25,"0,51",2,2
2025-02-05,Teléfonos móviles,Natación para Embarazadas,Búsqueda | General,"0,00",72,"7,09",9,9
2025-02-05,Tablets,Clases de Natación,Búsqueda | General,"0,00",3,"0,00",0,0
2025-02-05,Tablets,Matronatación,Búsqueda | General,"0,00",7,"0,00",0,0
2025-02-05,Tablets,Natació- Infantil,Búsqueda | General,"0,00",25,"0,02",1,1
2025-02-06,Otro,Natació- Infantil,Búsqueda | General,"0,00",1,"0,00",0,0
2025-02-06,Equipos informáticos,Clases de Natación,Búsqueda | General,"0,00",47,"0,00",0,0
2025-02-06,Equipos informáticos,Matronatación,Búsqueda | General,"0,00",52,"0,00",0,0
2025-02-06,Equipos informáticos,Natació- Infantil,Búsqueda | General,"0,00",274,"0,00",0,0
2025-02-06,Equipos informáticos,Natación Adultos,Búsqueda | General,"0,00",1,"0,00",0,0
2025-02-06,Equipos informáticos,Natación para Embarazadas,Búsqueda | General,"0,00",8,"0,00",0,0
2025-02-06,Teléfonos móviles,Clases de Natación,Búsqueda | General,"0,00",165,"9,48",16,16
2025-02-06,Teléfonos móviles,Matronatación,Búsqueda | General,"2,00",257,"16,42",24,24
2025-02-06,Teléfonos móviles,Natació- Infantil,Búsqueda | General,"0,00",796,"5,66",18,18
2025-02-06,Teléfonos móviles,Natación Adultos,Búsqueda | General,"0,00",41,"4,28",8,8
2025-02-06,Teléfonos móviles,Natación para Embarazadas,Búsqueda | General,"0,00",64,"6,81",6,6
2025-02-06,Tablets,Clases de Natación,Búsqueda | General,"0,00",7,"0,00",0,0
2025-02-06,Tablets,Matronatación,Búsqueda | General,"0,00",6,"0,00",0,0
2025-02-06,Tablets,Natació- Infantil,Búsqueda | General,"0,00",54,"0,06",1,1
2025-02-07,Equipos informáticos,Clases de Natación,Búsqueda | General,"0,00",25,"0,37",1,1
2025-02-07,Equipos informáticos,Matronatación,Búsqueda | General,"0,00",12,"0,00",0,0
2025-02-07,Equipos informáticos,Natació- Infantil,Búsqueda | General,"0,00",26,"1,87",1,1
2025-02-07,Equipos informáticos,Natación Adultos,Búsqueda | General,"0,00",11,"1,36",1,1
2025-02-07,Equipos informáticos,Natación para Embarazadas,Búsqueda | General,"0,00",14,"0,00",0,0
2025-02-07,Teléfonos móviles,Clases de Natación,Búsqueda | General,"0,00",145,"14,62",23,23
2025-02-07,Teléfonos móviles,Matronatación,Búsqueda | General,"2,00",134,"15,47",18,18
2025-02-07,Teléfonos móviles,Natació- Infantil,Búsqueda | General,"0,00",121,"2,70",5,5
2025-02-07,Teléfonos móviles,Natación Adultos,Búsqueda | General,"0,00",80,"6,81",11,11
2025-02-07,Teléfonos móviles,Natación para Embarazadas,Búsqueda | General,"0,00",36,"5,95",5,5
2025-02-07,Tablets,Matronatación,Búsqueda | General,"0,00",2,"0,00",0,0
2025-02-07,Tablets,Natació- Infantil,Búsqueda | General,"0,00",1,"0,00",0,0
2025-02-08,Equipos informáticos,Clases de Natación,Búsqueda | General,"0,00",10,"0,00",0,0
2025-02-08,Equipos informáticos,Matronatación,Búsqueda | General,"0,00",5,"0,89",1,1
2025-02-08,Equipos informáticos,Natació- Infantil,Búsqueda | General,"0,00",5,"1,11",1,1
2025-02-08,Equipos informáticos,Natación Adultos,Búsqueda | General,"0,00",3,"0,00",0,0
2025-02-08,Equipos informáticos,Natación para Embarazadas,Búsqueda | General,"0,00",2,"0,00",0,0
2025-02-08,Teléfonos móviles,Clases de Natación,Búsqueda | General,"1,00",151,"11,73",20,20
2025-02-08,Teléfonos móviles,Matronatación,Búsqueda | General,"0,00",152,"15,11",22,22
2025-02-08,Teléfonos móviles,Natació- Infantil,Búsqueda | General,"1,00",65,"2,77",5,5
2025-02-08,Teléfonos móviles,Natación Adultos,Búsqueda | General,"1,00",133,"5,60",15,15
2025-02-08,Teléfonos móviles,Natación para Embarazadas,Búsqueda | General,"0,00",52,"0,30",1,1
2025-02-08,Tablets,Clases de Natación,Búsqueda | General,"0,00",2,"0,00",0,0
2025-02-08,Tablets,Natació- Infantil,Búsqueda | General,"0,00",1,"0,00",0,0
2025-02-08,Tablets,Natación Adultos,Búsqueda | General,"0,00",1,"0,00",0,0
2025-02-09,Equipos informáticos,Clases de Natación,Búsqueda | General,"0,00",9,"1,05",2,2
2025-02-09,Equipos informáticos,Matronatación,Búsqueda | General,"0,00",5,"0,99",1,1
2025-02-09,Equipos informáticos,Natació- Infantil,Búsqueda | General,"0,00",38,"0,00",0,0
2025-02-09,Equipos informáticos,Natación Adultos,Búsqueda | General,"0,00",11,"0,92",1,1
2025-02-09,Equipos informáticos,Natación para Embarazadas,Búsqueda | General,"0,00",1,"0,00",0,0
2025-02-09,Teléfonos móviles,Clases de Natación,Búsqueda | General,"1,00",187,"10,50",19,19
2025-02-09,Teléfonos móviles,Matronatación,Búsqueda | General,"2,00",176,"7,74",13,13
2025-02-09,Teléfonos móviles,Natació- Infantil,Búsqueda | General,"0,00",145,"3,47",8,8
2025-02-09,Teléfonos móviles,Natación Adultos,Búsqueda | General,"0,00",322,"10,17",35,35
2025-02-09,Teléfonos móviles,Natación para Embarazadas,Búsqueda | General,"0,00",80,"3,75",7,7
2025-02-09,Tablets,Clases de Natación,Búsqueda | General,"0,00",1,"0,00",0,0
2025-02-09,Tablets,Matronatación,Búsqueda | General,"0,00",2,"0,00",0,0
2025-02-09,Tablets,Natació- Infantil,Búsqueda | General,"0,00",3,"0,00",0,0
2025-02-09,Tablets,Natación Adultos,Búsqueda | General,"0,00",1,"0,00",0,0
2025-02-09,Tablets,Natación para Embarazadas,Búsqueda | General,"0,00",0,"0,00",0,0
2025-02-10,Equipos informáticos,Clases de Natación,Búsqueda | General,"0,00",29,"0,80",1,1
2025-02-10,Equipos informáticos,Matronatación,Búsqueda | General,"0,00",16,"0,00",0,0
2025-02-10,Equipos informáticos,Natació- Infantil,Búsqueda | General,"0,00",20,"0,66",1,1
2025-02-10,Equipos informáticos,Natación Adultos,Búsqueda | General,"0,00",8,"0,00",0,0
2025-02-10,Equipos informáticos,Natación para Embarazadas,Búsqueda | General,"0,00",4,"0,00",0,0
2025-02-10,Teléfonos móviles,Clases de Natación,Búsqueda | General,"0,00",223,"16,74",29,29
2025-02-10,Teléfonos móviles,Matronatación,Búsqueda | General,"1,00",119,"9,73",15,15
2025-02-10,Teléfonos móviles,Natació- Infantil,Búsqueda | General,"0,00",116,"3,18",9,9
2025-02-10,Teléfonos móviles,Natación Adultos,Búsqueda | General,"0,00",186,"4,76",17,17
2025-02-10,Teléfonos móviles,Natación para Embarazadas,Búsqueda | General,"1,00",36,"0,62",1,1
2025-02-10,Tablets,Clases de Natación,Búsqueda | General,"0,00",4,"0,00",0,0
2025-02-10,Tablets,Matronatación,Búsqueda | General,"0,00",4,"0,00",0,0
2025-02-10,Tablets,Natación Adultos,Búsqueda | General,"0,00",3,"0,00",0,0
2025-02-10,Tablets,Natación para Embarazadas,Búsqueda | General,"0,00",2,"0,00",0,0
2025-02-11,Equipos informáticos,Clases de Natación,Búsqueda | General,"0,00",36,"0,93",2,2
2025-02-11,Equipos informáticos,Matronatación,Búsqueda | General,"0,00",28,"0,00",0,0
2025-02-11,Equipos informáticos,Natació- Infantil,Búsqueda | General,"0,00",70,"0,00",0,0
2025-02-11,Equipos informáticos,Natación Adultos,Búsqueda | General,"0,00",13,"0,98",1,1
2025-02-11,Equipos informáticos,Natación para Embarazadas,Búsqueda | General,"0,00",6,"0,12",1,1
2025-02-11,Teléfonos móviles,Clases de Natación,Búsqueda | General,"1,00",226,"13,98",21,21
2025-02-11,Teléfonos móviles,Matronatación,Búsqueda | General,"2,00",244,"21,20",33,33
2025-02-11,Teléfonos móviles,Natació- Infantil,Búsqueda | General,"0,00",233,"3,86",10,10
2025-02-11,Teléfonos móviles,Natación Adultos,Búsqueda | General,"0,00",163,"4,20",13,13
2025-02-11,Teléfonos móviles,Natación para Embarazadas,Búsqueda | General,"1,00",100,"4,92",8,8
2025-02-11,Tablets,Clases de Natación,Búsqueda | General,"0,00",3,"0,00",0,0
2025-02-11,Tablets,Matronatación,Búsqueda | General,"0,00",1,"0,00",0,0
2025-02-11,Tablets,Natació- Infantil,Búsqueda | General,"0,00",7,"0,00",0,0
2025-02-11,Tablets,Natación Adultos,Búsqueda | General,"0,00",1,"0,00",0,0
2025-02-12,Equipos informáticos,Clases de Natación,Búsqueda | General,"0,00",33,"0,00",0,0
2025-02-12,Equipos informáticos,Matronatación,Búsqueda | General,"0,00",25,"1,52",1,1
2025-02-12,Equipos informáticos,Natació- Infantil,Búsqueda | General,"0,00",64,"0,05",1,1
2025-02-12,Equipos informáticos,Natación Adultos,Búsqueda | General,"0,00",8,"0,00",0,0
2025-02-12,Equipos informáticos,Natación para Embarazadas,Búsqueda | General,"0,00",11,"0,00",0,0
2025-02-12,Teléfonos móviles,Clases de Natación,Búsqueda | General,"3,00",277,"20,02",25,25
2025-02-12,Teléfonos móviles,Matronatación,Búsqueda | General,"1,00",196,"19,42",27,27
2025-02-12,Teléfonos móviles,Natació- Infantil,Búsqueda | General,"0,00",88,"2,47",5,5
2025-02-12,Teléfonos móviles,Natación Adultos,Búsqueda | General,"1,00",74,"5,75",11,11
2025-02-12,Teléfonos móviles,Natación para Embarazadas,Búsqueda | General,"0,00",101,"5,48",5,5
2025-02-12,Tablets,Clases de Natación,Búsqueda | General,"0,00",2,"0,00",0,0
2025-02-12,Tablets,Natació- Infantil,Búsqueda | General,"0,00",4,"0,00",0,0
