Día,Dispositivo,Grupo de anuncios,Campaña,Conversiones,Impr.,Coste,Interacciones,Clics
2025-02-19,Teléfonos móviles,Natación para Embarazadas,Búsqueda | General,"0,00",66,"5,37",4,4
2025-02-19,Tablets,Matronatación,Búsqueda | General,"0,00",6,"0,00",0,0
2025-02-19,Tablets,Natació- Infantil,Búsqueda | General,"0,00",1,"0,00",0,0
2025-02-19,Tablets,Natación Adultos,Búsqueda | General,"0,00",14,"0,00",0,0
2025-02-20,Equipos informáticos,Clases de Natación,Búsqueda | General,"0,00",37,"0,72",2,2
2025-02-20,Equipos informáticos,Matronatación,Búsqueda | General,"1,00",52,"2,71",2,2
2025-02-20,Equipos informáticos,Natació- Infantil,Búsqueda | General,"0,00",9,"0,57",1,1
2025-02-20,Equipos informáticos,Natación Adultos,Búsqueda | General,"0,00",15,"0,00",0,0
2025-02-20,Equipos informáticos,Natación para Embarazadas,Búsqueda | General,"0,00",9,"0,00",0,0
2025-02-20,Teléfonos móviles,Clases de Natación,Búsqueda | General,"0,00",129,"3,44",6,6
2025-02-20,Teléfonos móviles,Matronatación,Búsqueda | General,"2,00",227,"17,00",30,30
2025-02-20,Teléfonos móviles,Natació- Infantil,Búsqueda | General,"0,00",69,"5,08",9,9
2025-02-20,Teléfonos móviles,Natación Adultos,Búsqueda | General,"1,00",73,"5,84",6,6
2025-02-20,Teléfonos móviles,Natación para Embarazadas,Búsqueda | General,"0,00",64,"6,32",7,7
2025-02-20,Tablets,Clases de Natación,Búsqueda | General,"0,00",2,"0,00",0,0
2025-02-20,Tablets,Matronatación,Búsqueda | General,"0,00",5,"0,00",0,0
2025-02-20,Tablets,Natación Adultos,Búsqueda | General,"0,00",5,"0,00",0,0
2025-02-21,Equipos informáticos,Clases de Natación,Búsqueda | General,"0,00",30,"0,18",1,1
2025-02-21,Equipos informáticos,Matronatación,Búsqueda | General,"0,00",63,"0,00",0,0
2025-02-21,Equipos informáticos,Natació- Infantil,Búsqueda | General,"0,00",22,"0,75",1,1
2025-02-21,Equipos informáticos,Natación Adultos,Búsqueda | General,"0,00",8,"1,14",2,2
2025-02-21,Equipos informáticos,Natación para Embarazadas,Búsqueda | General,"0,00",5,"0,00",0,0
2025-02-21,Teléfonos móviles,Clases de Natación,Búsqueda | General,"0,00",121,"3,75",10,10
2025-02-21,Teléfonos móviles,Matronatación,Búsqueda | General,"0,00",295,"8,33",14,14
2025-02-21,Teléfonos móviles,Natació- Infantil,Búsqueda | General,"0,00",75,"1,32",4,4
2025-02-21,Teléfonos móviles,Natación Adultos,Búsqueda | General,"1,00",67,"6,08",11,11
2025-02-21,Teléfonos móviles,Natación para Embarazadas,Búsqueda | General,"0,00",70,"3,60",4,4
2025-02-21,Tablets,Matronatación,Búsqueda | General,"0,00",4,"0,00",0,0
2025-02-21,Tablets,Natació- Infantil,Búsqueda | General,"0,00",2,"0,00",0,0
2025-02-22,Equipos informáticos,Clases de Natación,Búsqueda | General,"0,00",14,"1,48",1,1
2025-02-22,Equipos informáticos,Matronatación,Búsqueda | General,"0,00",26,"0,66",1,1
2025-02-22,Equipos informáticos,Natació- Infantil,Búsqueda | General,"0,00",15,"0,00",0,0
2025-02-22,Equipos informáticos,Natación Adultos,Búsqueda | General,"0,00",9,"0,13",1,1
2025-02-22,Teléfonos móviles,Clases de Natación,Búsqueda | General,"1,00",121,"9,31",17,17
2025-02-22,Teléfonos móviles,Matronatación,Búsqueda | General,"2,00",307,"11,95",19,19
2025-02-22,Teléfonos móviles,Natació- Infantil,Búsqueda | General,"0,00",85,"4,57",7,7
2025-02-22,Teléfonos móviles,Natación Adultos,Búsqueda | General,"0,00",180,"4,14",12,12
2025-02-22,Teléfonos móviles,Natación para Embarazadas,Búsqueda | General,"0,00",33,"1,01",3,3
2025-02-22,Tablets,Matronatación,Búsqueda | General,"0,00",3,"0,00",0,0
2025-02-22,Tablets,Natació- Infantil,Búsqueda | General,"0,00",2,"0,00",0,0
2025-02-22,Tablets,Natación Adultos,Búsqueda | General,"0,00",1,"0,00",0,0
2025-02-23,Equipos informáticos,Clases de Natación,Búsqueda | General,"0,00",15,"0,00",0,0
2025-02-23,Equipos informáticos,Matronatación,Búsqueda | General,"0,00",34,"0,31",1,1
2025-02-23,Equipos informáticos,Natació- Infantil,Búsqueda | General,"0,00",12,"0,00",0,0
2025-02-23,Equipos informáticos,Natación Adultos,Búsqueda | General,"0,00",12,"0,00",0,0
2025-02-23,Equipos informáticos,Natación para Embarazadas,Búsqueda | General,"0,00",2,"0,00",0,0
2025-02-23,Teléfonos móviles,Clases de Natación,Búsqueda | General,"1,00",157,"7,01",10,10
2025-02-23,Teléfonos móviles,Matronatación,Búsqueda | General,"0,00",243,"6,68",12,12
2025-02-23,Teléfonos móviles,Natació- Infantil,Búsqueda | General,"0,00",84,"4,85",10,10
2025-02-23,Teléfonos móviles,Natación Adultos,Búsqueda | General,"0,00",179,"5,15",13,13
2025-02-23,Teléfonos móviles,Natación para Embarazadas,Búsqueda | General,"0,00",60,"1,28",2,2
2025-02-23,Tablets,Clases de Natación,Búsqueda | General,"0,00",2,"0,00",0,0
2025-02-23,Tablets,Matronatación,Búsqueda | General,"0,00",13,"0,23",1,1
2025-02-23,Tablets,Natació- Infantil,Búsqueda | General,"0,00",3,"0,00",0,0
2025-02-23,Tablets,Natación Adultos,Búsqueda | General,"0,00",3,"0,00",0,0
