Fecha,Dispositivo,Set anuncios,Conversiones,Impresiones,Coste,Interacciones,Clics,CTR
2025-02-04,ordenador,Natación infantil,0.0,165,4.3799999999990005e-10,5,5,0.03
2025-02-04,ordenador,Natación adultos,0.0,4,0.0,0,0,0.0
2025-02-04,ordenador,Natación embarazadas,0.0,14,0.0,0,0,0.0
2025-02-04,móbil,Clases natación,1e-10,139,1.2310000000000002e-09,23,23,0.17
2025-02-04,móbil,Matronatación,1e-10,118,9.93e-10,13,13,0.11
2025-02-04,móbil,Natación infantil,0.0,444,4.5400000000000003e-10,14,14,0.03
2025-02-04,móbil,Natación adultos,1e-10,33,3.7399999999999995e-10,6,6,0.18
2025-02-04,móbil,Natación embarazadas,2e-10,76,1.769e-09,16,16,0.21
2025-02-04,tablet,Clases natación,0.0,3,0.0,0,0,0.0
2025-02-04,tablet,Natación infantil,0.0,8,0.0,0,0,0.0
2025-02-05,ordenador,Clases natación,0.0,19,0.0,0,0,0.0
2025-02-05,ordenador,Matronatación,0.0,59,3.8899999999989996e-10,3,3,0.05
2025-02-05,ordenador,Natación infantil,0.0,186,8.400000000000001e-11,3,3,0.02
2025-02-05,ordenador,Natación adultos,0.0,7,0.0,0,0,0.0
2025-02-05,ordenador,Natación embarazadas,0.0,12,0.0,0,0,0.0
2025-02-05,móbil,Clases natación,0.0,206,1.199e-09,20,20,0.1
2025-02-05,móbil,Matronatación,1e-10,307,1.2570000000000001e-09,23,23,0.07
2025-02-05,móbil,Natación infantil,0.0,1,6.34e-10,20,20,20.0
2025-02-05,móbil,Natación adultos,0.0,25,5.100000000000001e-11,2,2,0.08
2025-02-05,móbil,Natación embarazadas,0.0,72,7.089999999999999e-10,9,9,0.12
2025-02-05,tablet,Clases natación,0.0,3,0.0,0,0,0.0
2025-02-05,tablet,Matronatación,0.0,7,0.0,0,0,0.0
2025-02-05,tablet,Natación infantil,0.0,25,2e-12,1,1,0.04
2025-02-06,otro,Natación infantil,0.0,1,0.0,0,0,0.0
2025-02-06,ordenador,Clases natación,0.0,47,0.0,0,0,0.0
2025-02-06,ordenador,Matronatación,0.0,52,0.0,0,0,0.0
2025-02-06,ordenador,Natación infantil,0.0,274,0.0,0,0,0.0
2025-02-06,ordenador,Natación adultos,0.0,1,0.0,0,0,0.0
2025-02-06,ordenador,Natación embarazadas,0.0,8,0.0,0,0,0.0
2025-02-06,móbil,Clases natación,0.0,165,9.48e-10,16,16,0.1
2025-02-06,móbil,Matronatación,2e-10,257,1.6419999999999997e-09,24,24,0.09
2025-02-06,móbil,Natación infantil,0.0,796,5.66e-10,18,18,0.02
2025-02-06,móbil,Natación adultos,0.0,41,4.2799999999999997e-10,8,8,0.2
2025-02-06,móbil,Natación embarazadas,0.0,64,6.809999999999999e-10,6,6,0.09
2025-02-06,tablet,Clases natación,0.0,7,0.0,0,0,0.0
2025-02-06,tablet,Matronatación,0.0,6,0.0,0,0,0.0
2025-02-06,tablet,Natación infantil,0.0,54,6e-12,1,1,0.02
2025-02-07,ordenador,Clases natación,0.0,25,3.7e-11,1,1,0.04
2025-02-07,ordenador,Matronatación,0.0,12,0.0,0,0,0.0
2025-02-07,ordenador,Natación infantil,0.0,26,1.8699999999999997e-10,1,1,0.04
2025-02-07,ordenador,Natación adultos,0.0,11,1.36e-10,1,1,0.09
2025-02-07,ordenador,Natación embarazadas,0.0,14,0.0,0,0,0.0
2025-02-07,móbil,Clases natación,0.0,145,1.462e-09,23,23,0.16
2025-02-07,móbil,Matronatación,2e-10,134,1.547e-09,18,18,0.13
2025-02-07,móbil,Natación infantil,0.0,121,2.7e-10,5,5,0.04
2025-02-07,móbil,Natación adultos,0.0,80,6.809999999999999e-10,11,11,0.14
2025-02-07,móbil,Natación embarazadas,0.0,36,5.949999999999e-10,5,5,0.14
2025-02-07,tablet,Matronatación,0.0,2,0.0,0,0,0.0
2025-02-07,tablet,Natación infantil,0.0,1,0.0,0,0,0.0
2025-02-08,ordenador,Clases natación,0.0,10,0.0,0,0,0.0
2025-02-08,ordenador,Matronatación,0.0,5,8.9e-11,1,1,0.2
2025-02-08,ordenador,Natación infantil,0.0,5,1.11e-10,1,1,0.2
2025-02-08,ordenador,Natación adultos,0.0,3,0.0,0,0,0.0
2025-02-08,ordenador,Natación embarazadas,0.0,2,0.0,0,0,0.0
2025-02-08,móbil,Clases natación,1e-10,151,1.173e-09,20,20,0.13
2025-02-08,móbil,Matronatación,0.0,152,1.5109999999999e-09,22,22,0.14
2025-02-08,móbil,Natación infantil,1e-10,65,2.77e-10,5,5,0.08
2025-02-08,móbil,Natación adultos,1e-10,133,5.599999999999e-10,15,15,0.11
2025-02-08,móbil,Natación embarazadas,0.0,52,3e-11,1,1,0.02
2025-02-08,tablet,Clases natación,0.0,2,0.0,0,0,0.0
2025-02-08,tablet,Natación infantil,0.0,1,0.0,0,0,0.0
2025-02-08,tablet,Natación adultos,0.0,1,0.0,0,0,0.0
2025-02-09,ordenador,Clases natación,0.0,9,1.05e-10,2,2,0.22
2025-02-09,ordenador,Matronatación,0.0,5,9.899999999999901e-11,1,1,0.2
2025-02-09,ordenador,Natación infantil,0.0,38,0.0,0,0,0.0
2025-02-09,ordenador,Natación adultos,0.0,11,9.199999999999999e-11,1,1,0.09
2025-02-09,ordenador,Natación embarazadas,0.0,1,0.0,0,0,0.0
2025-02-09,móbil,Clases natación,1e-10,187,1.05e-09,19,19,0.1
2025-02-09,móbil,Matronatación,2e-10,176,7.739999999999999e-10,13,13,0.07
2025-02-09,móbil,Natación infantil,0.0,145,3.47e-10,8,8,0.06
2025-02-09,móbil,Natación adultos,0.0,322,1.0170000000000001e-09,35,35,0.11
2025-02-09,móbil,Natación embarazadas,0.0,80,3.75e-10,7,7,0.09
2025-02-09,tablet,Clases natación,0.0,1,0.0,0,0,0.0
2025-02-09,tablet,Matronatación,0.0,2,0.0,0,0,0.0
2025-02-09,tablet,Natación infantil,0.0,3,0.0,0,0,0.0
2025-02-09,tablet,Natación adultos,0.0,1,0.0,0,0,0.0
2025-02-09,tablet,Natación embarazadas,0.0,0,0.0,0,0,0.0
2025-02-10,ordenador,Clases natación,0.0,29,8.000000000000001e-11,1,1,0.03
2025-02-10,ordenador,Matronatación,0.0,16,0.0,0,0,0.0
2025-02-10,ordenador,Natación infantil,0.0,20,6.6e-11,1,1,0.05
2025-02-10,ordenador,Natación adultos,0.0,8,0.0,0,0,0.0
2025-02-10,ordenador,Natación embarazadas,0.0,4,0.0,0,0,0.0
2025-02-10,móbil,Clases natación,0.0,223,1.674e-09,29,29,0.13
2025-02-10,móbil,Matronatación,1e-10,119,9.73e-10,15,15,0.13
2025-02-10,móbil,Natación infantil,0.0,116,3.18e-10,9,9,0.08
2025-02-10,móbil,Natación adultos,0.0,186,4.759999999998999e-10,17,17,0.09
2025-02-10,móbil,Natación embarazadas,1e-10,36,6.2e-11,1,1,0.03
2025-02-10,tablet,Clases natación,0.0,4,0.0,0,0,0.0
2025-02-10,tablet,Matronatación,0.0,4,0.0,0,0,0.0
2025-02-10,tablet,Natación adultos,0.0,3,0.0,0,0,0.0
2025-02-10,tablet,Natación embarazadas,0.0,2,0.0,0,0,0.0
2025-02-11,ordenador,Clases natación,0.0,36,9.3e-11,2,2,0.06
2025-02-11,ordenador,Matronatación,0.0,28,0.0,0,0,0.0
2025-02-11,ordenador,Natación infantil,0.0,70,0.0,0,0,0.0
2025-02-11,ordenador,Natación adultos,0.0,13,9.8e-11,1,1,0.08
2025-02-11,ordenador,Natación embarazadas,0.0,6,1.2e-11,1,1,0.17
2025-02-11,móbil,Clases natación,1e-10,226,1.398e-09,21,21,0.09
2025-02-11,móbil,Matronatación,2e-10,244,2.12e-09,33,33,0.14
2025-02-11,móbil,Natación infantil,0.0,233,3.859999999999e-10,10,10,0.04
2025-02-11,móbil,Natación adultos,0.0,163,4.2e-10,13,13,0.08
2025-02-11,móbil,Natación embarazadas,1e-10,100,4.920000000000001e-10,8,8,0.08
2025-02-11,tablet,Clases natación,0.0,3,0.0,0,0,0.0
2025-02-11,tablet,Matronatación,0.0,1,0.0,0,0,0.0
