Campaign name,Day,Platform,Objective,Result type,Results,Reach,Impressions,Amount spent (EUR),Views,Clicks (all),CPC (all),CTR (all),Page engagement,Facebook follows or likes,Link clicks,Instagram profile visits,Website leads,Objective,Website purchases conversion value,Estimated ad recall lift (people)
matronatacion conversion,2025-04-16,instagram,OUTCOME_LEADS,,,4810,4901,15.04,9378,68,0.22117647,1.38747194,808,,54,14,,OUTCOME_LEADS,,0
matronatacion conversion,2025-04-15,All,All,,,8378,8959,24.21,15720,99,0.24454545,1.10503404,1410,,65,22,,OUTCOME_LEADS,,0
matronatacion conversion,2025-04-15,instagram,All,,,6732,6774,19.48,12892,78,0.24974359,1.15146147,1065,,57,22,,OUTCOME_LEADS,,0
matronatacion conversion,2025-04-15,instagram,OUTCOME_LEADS,,,6732,6774,19.48,12892,78,0.24974359,1.15146147,1065,,57,22,,OUTCOME_LEADS,,0
matronatacion conversion,2025-04-15,facebook,All,,,2072,2184,4.72,2826,21,0.2247619,0.96153846,343,,8,0,,OUTCOME_LEADS,,0
matronatacion conversion,2025-04-15,facebook,OUTCOME_LEADS,,,2072,2184,4.72,2826,21,0.2247619,0.96153846,343,,8,0,,OUTCOME_LEADS,,0
matronatacion conversion,2025-04-15,audience_network,All,,,1,1,0.01,2,0,,0,2,,,0,,OUTCOME_LEADS,,0
matronatacion conversion,2025-04-15,audience_network,OUTCOME_LEADS,,,1,1,0.01,2,0,,0,2,,,0,,OUTCOME_LEADS,,0
matronatacion conversion,2025-04-14,All,All,Website leads,4,9308,9536,24.93,16331,109,0.2287156,1.14303691,1449,,77,17,4,OUTCOME_LEADS,,0
matronatacion conversion,2025-04-14,instagram,All,Website leads,2,6366,6478,18.65,12334,78,0.23910256,1.20407533,960,,58,17,2,OUTCOME_LEADS,,0
matronatacion conversion,2025-04-14,instagram,OUTCOME_LEADS,Website leads,2,6366,6478,18.65,12334,78,0.23910256,1.20407533,960,,58,17,2,OUTCOME_LEADS,,0
matronatacion conversion,2025-04-14,audience_network,All,,,4,4,0.07,4,1,0.07,25,4,,1,0,,OUTCOME_LEADS,,0
matronatacion conversion,2025-04-14,audience_network,OUTCOME_LEADS,,,4,4,0.07,4,1,0.07,25,4,,1,0,,OUTCOME_LEADS,,0
matronatacion conversion,2025-04-14,facebook,All,Website leads,2,2960,3054,6.21,3993,30,0.207,0.98231827,485,,18,0,2,OUTCOME_LEADS,,0
matronatacion conversion,2025-04-14,facebook,OUTCOME_LEADS,Website leads,2,2960,3054,6.21,3993,30,0.207,0.98231827,485,,18,0,2,OUTCOME_LEADS,,0
matronatacion conversion,2025-04-17,All,All,Website leads,2,7806,8618,25.26,17763,112,0.22553571,1.29960548,2054,1,64,35,2,OUTCOME_LEADS,,0
matronatacion conversion,2025-04-17,instagram,All,Website leads,2,6700,7099,21.23,14713,91,0.2332967,1.28187069,1601,,55,35,2,OUTCOME_LEADS,,0
matronatacion conversion,2025-04-17,instagram,OUTCOME_LEADS,Website leads,2,6700,7099,21.23,14713,91,0.2332967,1.28187069,1601,,55,35,2,OUTCOME_LEADS,,0
matronatacion conversion,2025-04-17,facebook,All,,,1326,1519,4.03,3050,21,0.19190476,1.38248848,453,1,9,0,,OUTCOME_LEADS,,0
