Session manual source,Date,Active users,Sessions,Engaged sessions,Average engagement time per session,Engaged sessions per active user,Events per session,Engagement rate,Key events,Event count,Total revenue
bing,20250415,1,1,1,9,1,6,1,0,6,0
bing,20250422,1,1,1,88,1,18,1,0,18,0
bing,20250423,1,1,1,163,1,51,1,0,51,0
bing,20250424,1,1,1,105,1,29,1,0,29,0
bing,20250425,1,1,1,409,1,22,1,0,22,0
bing,20250427,1,1,1,151,1,21,1,0,21,0
ch.search.yahoo.com,20250417,1,1,1,8,1,8,1,0,8,0
chatgpt.com,20250414,1,1,1,11,1,6,1,0,6,0
chatgpt.com,20250417,1,1,1,145,1,8,1,0,8,0
chatgpt.com,20250424,0,1,1,0,0,4,1,0,4,0
chatgpt.com,20250425,1,1,1,20,1,5,1,0,5,0
duckduckgo,20250423,1,1,1,81,1,6,1,0,6,0
es.search.yahoo.com,20250422,1,1,1,25,1,4,1,0,4,0
facebook.com,20250415,1,1,1,7,1,6,1,0,6,0
facebook.com,20250426,1,1,1,7,1,5,1,0,5,0
facebook.com,20250427,1,1,1,0,1,5,1,0,5,0
instagram.com,20250423,1,1,0,0,0,3,0,0,3,0
instagram.com,20250427,1,1,1,29,1,5,1,0,5,0
l.facebook.com,20250417,1,1,1,1,1,9,1,0,9,0
l.facebook.com,20250418,1,1,1,51,1,16,1,0,16,0
l.instagram.com,20250419,1,1,1,171,1,6,1,0,6,0
l.instagram.com,20250426,1,1,1,22,1,7,1,0,7,0
l.instagram.com,20250427,1,1,1,2,1,4,1,0,4,0
linktr.ee,20250415,1,1,1,133,1,15,1,0,15,0
lm.facebook.com,20250416,1,1,1,121,1,17,1,0,17,0
m.facebook.com,20250417,1,1,1,88,1,15,1,0,15,0
m.facebook.com,20250420,1,1,1,3,1,4,1,0,4,0
m.facebook.com,20250421,1,1,1,45,1,6,1,0,6,0
m.facebook.com,20250424,1,1,1,0,1,5,1,0,5,0
matronatacion.info,20250426,0,1,0,0,0,4,0,0,4,0
yahoo,20250427,1,1,1,104,1,15,1,0,15,0
